ad_id,ad_duration,ip_addr,time,country,region,region_code,city,zip
m9rxnviz,2607,127.0.0.1,1726591466,United States,Massachusetts,MA,Cambridge,02238
m9rxnviz,3072,127.0.0.1,1726591318, United States,Colorado,CO,Denver,80252
m9rxnviz,4161,127.0.0.1,1726591296, United States,Colorado,CO,Denver,80252
m9rxnviz,4161,127.0.0.1,1726291296, United States,Colorado,CO,Denver,80252
m9rxnviz,3596,127.0.0.1,1726599712.217182,United States,Massachusetts,MA,Cambridge,02238
m9rxnviz,2229,127.0.0.1,1726599735.9956539,United States,Massachusetts,MA,Cambridge,02238
m9rxnviz,2291,127.0.0.1,1726599761.341542,United States,Massachusetts,MA,Cambridge,02238
m9rxnviz,2689,127.0.0.1,1726599922.794199,United States,Massachusetts,MA,Cambridge,02238
m9rxnviz,2898,127.0.0.1,1726599939.2400699,United States,Massachusetts,MA,Cambridge,02238
m9rxnviz,1280,127.0.0.1,1726600949.564669,United States,Massachusetts,MA,Cambridge,02238
m9rxnviz,4723,127.0.0.1,1726601332.518527,United States,Massachusetts,MA,Cambridge,02238
hi7obbd2,3263,127.0.0.1,1726602432.52032,United States,Massachusetts,MA,Cambridge,02238
hi7obbd2,2811,127.0.0.1,1726602712.302027,United States,Massachusetts,MA,Cambridge,02238
m9rxnviz,2773,127.0.0.1,1726602719.626358,United States,Massachusetts,MA,Cambridge,02238
hi7obbd2,2952,127.0.0.1,1726602726.992511,United States,Massachusetts,MA,Cambridge,02238
m9rxnviz,2596,127.0.0.1,1726603065.568799,United States,Massachusetts,MA,Cambridge,02238
hi7obbd2,2741,127.0.0.1,1726603078.219519,United States,Massachusetts,MA,Cambridge,02238
m9rxnviz,2054,127.0.0.1,1726603122.645003,United States,Massachusetts,MA,Cambridge,02238
hi7obbd2,3167,127.0.0.1,1726603132.193273,United States,Massachusetts,MA,Cambridge,02238
m9rxnviz,3668,127.0.0.1,1726603143.689162,United States,Massachusetts,MA,Cambridge,02238
m9rxnviz,914,127.0.0.1,1726603624.888509,United States,Massachusetts,MA,Cambridge,02238
hi7obbd2,940,127.0.0.1,1726603634.062845,United States,Massachusetts,MA,Cambridge,02238
